,batch_size,dropout_keep_prob,epochs,input_channels,l2_reg_scale,lr,max_valid_acc,max_valid_acc_epoch,name,pool_type,train_acc,train_accuracies,valid_acc,valid_accuracies,weights_sigma
0,16,-1.0,20,1,-1.0,0.001,0.9340136054421768,12,dropout_keep_prob_-1.0_lr_0.001_weights_sigma_0.1_l2_reg_scale_-1.0_pool_type_max_epochs_20_batch_size_16_input_channels_1,max,0.9926434667662863,"[0.92600362079370102, 0.97011408373803842, 0.97862007528951978, 0.98008563464467369, 0.98841920744848988, 0.98867783556998767, 0.9835914825138653, 0.99258599385039803, 0.99336187821489119, 0.99295956780367256, 0.99589068651398027, 0.99385039799994257, 0.99456880944854742, 0.99393660737377509, 0.99439639070088226, 0.99520101152331963, 0.99560332193453838, 0.99701140837380386, 0.99767234690652029, 0.99264346676628634]",0.9131519274376417,"[0.84149659863945581, 0.89863945578231297, 0.91247165532879815, 0.92312925170068028, 0.92698412698412702, 0.91859410430839006, 0.90566893424036277, 0.91405895691609973, 0.92925170068027207, 0.9285714285714286, 0.93242630385487524, 0.93401360544217682, 0.93401360544217682, 0.92698412698412702, 0.91995464852607711, 0.92154195011337869, 0.93129251700680271, 0.92630385487528344, 0.93151927437641724, 0.91315192743764173]",0.1
1,16,-1.0,20,1,0.0001,0.001,0.9551020408163265,19,dropout_keep_prob_-1.0_lr_0.001_weights_sigma_0.1_l2_reg_scale_0.0001_pool_type_max_epochs_20_batch_size_16_input_channels_1,max,0.9957470042242593,"[0.93379120089657752, 0.9706313399810339, 0.97979827006523179, 0.97485559929883048, 0.99109169803729991, 0.99264346676628634, 0.99169516365412802, 0.99252852093450961, 0.99089054283169054, 0.98600534498117764, 0.9928158855139515, 0.99732750941118997, 0.99781602919624124, 0.99658036150464091, 0.99537343027098479, 0.9979884479439064, 0.99649415213080839, 0.99454007299060321, 0.99749992815885513, 0.99574700422425932]",0.9494331065759637,"[0.85419501133786846, 0.92267573696145122, 0.91360544217687079, 0.89795918367346939, 0.93197278911564629, 0.93696145124716557, 0.91859410430839006, 0.93514739229024946, 0.93492063492063493, 0.93650793650793651, 0.93287981859410429, 0.94988662131519275, 0.95351473922902497, 0.93197278911564629, 0.93446712018140587, 0.94058956916099778, 0.92653061224489797, 0.93197278911564629, 0.95510204081632655, 0.94943310657596369]",0.1
2,16,0.5,20,1,-1.0,0.001,0.909750566893424,18,dropout_keep_prob_0.5_lr_0.001_weights_sigma_0.1_l2_reg_scale_-1.0_pool_type_max_epochs_20_batch_size_16_input_channels_1,max,0.9479870111484144,"[0.74122819623994007, 0.83421937414735114, 0.87832983709340151, 0.88519785054035105, 0.9032156096473809, 0.92160694275564459, 0.92519900000038158, 0.92744044372002876, 0.93479697692462427, 0.93767062274644886, 0.92643466769026905, 0.94439495390539019, 0.9466938705135205, 0.94729733613034861, 0.94175119977452437, 0.94965372570917772, 0.95614816517716028, 0.9537917756548544, 0.95778614327997935, 0.94798701114841444]",0.8945578231292517,"[0.6873015872475241, 0.78344671204517213, 0.81995464847201394, 0.82199546485260766, 0.84807256238530826, 0.86394557823129248, 0.86961451241759213, 0.87619047619047619, 0.88390022670330648, 0.88344671201814062, 0.87777777772371457, 0.89342403622711597, 0.90113378679400935, 0.90022675736961455, 0.88639455782312926, 0.90136054416362388, 0.90702947845804993, 0.90975056689342404, 0.90861678004535151, 0.89455782312925169]",0.1
3,16,0.5,20,1,0.0001,0.001,0.9086167800453515,19,dropout_keep_prob_0.5_lr_0.001_weights_sigma_0.1_l2_reg_scale_0.0001_pool_type_max_epochs_20_batch_size_16_input_channels_1,max,0.9504583465316151,"[0.72033679128710593, 0.81717865458644423, 0.86031207796067921, 0.8873818213441097, 0.90091669300841981, 0.91436535532630248, 0.91508376677490733, 0.92744044369091061, 0.92462427081237963, 0.93962470188665403, 0.92902094887784137, 0.94206730078450529, 0.94473979137331532, 0.94106152475645855, 0.94379148829027493, 0.94715365384062755, 0.94571683094341796, 0.95203885169114055, 0.94899278714905599, 0.95045834653161509]",0.9013605442447187,"[0.6820861678004535, 0.75646258503401365, 0.80249433106575963, 0.82947845804988662, 0.85124716553287982, 0.8553287981318779, 0.86689342403628122, 0.88117913832199546, 0.87687074832635137, 0.88956916099773242, 0.87210884348335183, 0.89410430839002264, 0.89319727885750144, 0.88707482987790964, 0.88956916099773242, 0.89795918367346939, 0.88866213146521122, 0.90612244892552862, 0.90861678004535151, 0.90136054424471868]",0.1
